Timestamp,題目類型,題目敘述,A,B,C,D,正確選項
6/9/2019 16:58:31,健康常識,人體中最大的器官為,肝,腦,皮膚,腸,C
6/9/2019 17:07:56,健康常識,維生素分成兩類：水溶性及脂溶性。請問以下分組為對的組合？,脂溶性：A、D、E、K；水溶性：B群、C,脂溶性：A、B群、C、D；水溶性：E、K,脂溶性：E、K；水溶性：A、B群、C、D,脂溶性：B群、C；水溶性：A、D、E、K,A
6/9/2019 17:11:12,健康常識,燒燙傷急救步驟順序為何,洗沖罩蓋送,脫沖泡送蓋,吹沖泡蓋送,沖脫泡蓋送,D
6/10/2019 14:08:35,一字千金,綠意ㄤˋ然,盎,,,,選「一字千金」的話請選這個
6/10/2019 14:10:29,一字千金,坐以待ㄅㄧˋ,斃,,,,選「一字千金」的話請選這個
6/10/2019 14:12:04,健康常識,紅血球的壽命長達多久？,10天,60天,90天,120天,D
6/10/2019 14:25:45,英文,Maintainance為何意思,娛樂,維修,鼓勵,痊癒,B
6/10/2019 17:21:33,一字千金,杯水車ㄒㄧㄣ,薪,,,,選「一字千金」的話請選這個
6/10/2019 17:27:50,健康常識,消化系統由上到下的順序為何,口腔、食道、胃、大腸、小腸、直腸、肛門,口腔、胃、食道、小腸、大腸、直腸、肛門,口腔、食道、胃、小腸、大腸、直腸、肛門,肛門、大腸、小腸、食道、胃、口腔、直腸,C
6/10/2019 17:30:13,健康常識,以下哪一組為高鉀食物？,香蕉、楊桃,地瓜葉、高麗菜,蘋果、柳丁,花枝、蝦子,A
6/10/2019 17:32:31,一字千金,心ㄎㄨㄤˋ神怡,曠,,,,選「一字千金」的話請選這個
6/10/2019 20:49:48,國文,"金庸武俠小說裡,擁有""西狂""的外號是下列哪位?",歐陽鋒,洪七公,周伯通,楊過,D
6/10/2019 20:52:20,國文,下列何者不是中國四大小說之一?,三國演義,紅樓夢,西廂記,水滸傳,C
6/10/2019 20:55:36,國文,"哈利波特的學校霍格華斯,哪個不是其四個學院的名稱之一?",格蘭芬多,鄧不利多,拉文克勞,斯萊特林,B
6/10/2019 20:58:04,國文,桃花源記的作者為何者?,桃白白,陶子,陶淵明,桃太郎,C
6/10/2019 21:00:12,數學,伊索寓言為哪一個國家的作品?,希臘,奧地利,瑞士,西班牙,A
6/10/2019 21:03:07,國文,"長恨歌中""在天願做比翼鳥,在地願為連理枝""是描敘哪一位情侶?",楊過/小龍女,羅密歐/茱麗葉,唐玄宗/楊貴妃,梁山伯/祝英台,C
6/10/2019 21:06:37,國文,"英國著名戲劇家""威廉·莎士比亞""的作品不包含下列何者?",仲夏夜之夢,哈姆雷特,第十二夜,夏綠蒂的網,D
6/10/2019 21:11:00,一字千金,高{ㄒㄧㄢ}蔬果,纖,,,,A
6/10/2019 21:12:30,國文,不{ㄕㄥ}感激,勝,,,,選「一字千金」的話請選這個
6/10/2019 21:13:14,一字千金,靜{ㄇ一ˋ}無聲,謐,,,,選「一字千金」的話請選這個
6/10/2019 21:14:22,一字千金,如法{ㄆㄠˊ }製,炮,,,,選「一字千金」的話請選這個
6/10/2019 21:15:00,一字千金,{ㄉㄞˇ}補犯人,逮,,,,選「一字千金」的話請選這個
6/10/2019 21:16:26,一字千金,租{ㄌ一ㄣˋ}車位,賃,,,,選「一字千金」的話請選這個
6/10/2019 21:16:59,一字千金,一年半{ㄗㄞˇ},載,,,,選「一字千金」的話請選這個
6/10/2019 21:17:59,一字千金,百年古{ㄔㄚˋ},剎,,,,選「一字千金」的話請選這個
6/10/2019 21:18:39,一字千金,{ㄏㄨㄥ}抬價格,哄,,,,選「一字千金」的話請選這個
6/10/2019 21:19:24,一字千金,海市{ㄕㄣˋ}樓,蜃,,,,選「一字千金」的話請選這個
6/10/2019 21:20:54,一字千金,ㄏㄜˋ立雞群,鶴,,,,選「一字千金」的話請選這個
6/10/2019 21:20:55,一字千金,仁者{一ㄠˋ}山,樂,,,,選「一字千金」的話請選這個
6/10/2019 21:21:31,一字千金,{ㄗㄨㄥˋ }藝節目,綜,,,,選「一字千金」的話請選這個
6/10/2019 21:22:23,一字千金,"獎""懲""紀錄",ㄔㄥˊ ,,,,選「一字千金」的話請選這個
6/10/2019 21:23:17,一字千金,雕欄玉{ㄑ一ˋ},砌,,,,選「一字千金」的話請選這個
6/10/2019 21:24:04,一字千金,蜜蜂{ㄓㄜ}傷,螫,,,,選「一字千金」的話請選這個
6/10/2019 21:24:41,健康常識,中暑應如何處理?,讓患者保持坐姿，給水,移至陰涼處，揭開多餘的衣服，給水,將患者用棉被包起來，給水,以上皆是,B
6/10/2019 21:24:59,一字千金,康{ㄒㄧ}字典,熙,,,,選「一字千金」的話請選這個
6/10/2019 21:25:34,一字千金,{ㄇㄞˋ}絡清楚,脈,,,,選「一字千金」的話請選這個
6/10/2019 21:26:10,一字千金,剛{ㄅㄧˋ}自用,愎,,,,選「一字千金」的話請選這個
6/10/2019 21:26:52,一字千金,保持{ㄌ一ㄢˊ}繫,聯,,,,選「一字千金」的話請選這個
6/10/2019 21:27:39,一字千金,身手矯{ㄐㄧㄢˋ},健,,,,選「一字千金」的話請選這個
6/10/2019 21:28:22,一字千金,"清新""雋""永",ㄐㄩㄢˋ,,,,選「一字千金」的話請選這個
6/10/2019 21:29:38,一字千金,到處{ㄉㄡ}風,兜,,,,選「一字千金」的話請選這個
6/10/2019 21:30:59,一字千金,提{ㄍㄤ}挈領,綱,,,,選「一字千金」的話請選這個
6/10/2019 21:32:09,一字千金,精力充{ㄆㄟˋ},沛,,,,選「一字千金」的話請選這個
6/10/2019 21:32:44,一字千金,如火如{ㄊㄨˊ},荼,,,,選「一字千金」的話請選這個
6/10/2019 21:33:45,一字千金,{ㄇㄢˊ}天過海,瞞,,,,選「一字千金」的話請選這個
6/10/2019 21:34:28,一字千金,發憤{ㄊㄨˊ}強,圖,,,,選「一字千金」的話請選這個
6/10/2019 21:35:27,一字千金,一{ㄅㄨˋ}登天,步,,,,選「一字千金」的話請選這個
6/10/2019 21:36:04,一字千金,一{ㄕˊ}二鳥,石,,,,選「一字千金」的話請選這個
6/10/2019 21:36:42,一字千金,壽比{ㄋㄢˊ}山,南,,,,選「一字千金」的話請選這個
6/10/2019 21:37:42,一字千金,含{一ˊ}弄孫,飴,,,,選「一字千金」的話請選這個
6/10/2019 21:40:58,一字千金,山珍{ㄏㄞˇ}味,海,,,,選「一字千金」的話請選這個
6/10/2019 21:42:23,一字千金,一笑{ㄓˋ}之,置,,,,選「一字千金」的話請選這個
6/10/2019 21:43:04,一字千金,啼笑皆{ㄈㄟ},非,,,,選「一字千金」的話請選這個
6/10/2019 21:45:53,國文,"""朽木不可雕也""指的是孔子的哪一位弟子",宰予,子路,子貢,顏淵,A
6/10/2019 21:52:47,國文,"日本同故事,桃太郎是由哪個東西蹦出來的",青木瓜,桃子,榴槤,榕樹,B
6/10/2019 21:58:56,國文,"下列敘述,哪一句比較強調學習的樂趣?","學而時習之,不亦說乎","凡事不宜刻,若讀書則不可不刻","己所不欲,勿施於人",我亦無他，惟手熟爾,A
6/12/2019 19:51:21,國文,"章回小說內容常會出現""欲知後事如何，且聽下回分解"",這樣的敘述是來自於哪一體裁?",網路小說,筆記小說,傳奇小說,話本小說,C
6/18/2019 21:06:14,數學,六年三班有30人，男生比女生多四4人，請問下列敘述何者正確,男生有17人,男生有16人,女生有17人,女生有16人,A
6/18/2019 21:10:35,數學,下列哪個敘述是錯誤的？,正方體的6個面一定是正方形,長方體的6個面一定是長方形,長方體的6個面，不一定都是長方形,正方體一定有6個一樣的面,B
6/18/2019 21:15:23,數學,106小時等於,3天10小時,3天20小時,4天5小時,4天10小時,D
6/18/2019 21:17:09,數學,吳小花今年年齡的四倍，剛好是媽媽明年的年齡，媽媽今年39歲，請問吳小花今年幾歲？,8歲,9歲,10歲,11歲,C
6/18/2019 21:18:01,數學,王大頭跟媽媽拿了七百元，去梅涼欣大賣場買九瓶一樣的黑松沙士，還剩下70元，請問一瓶黑松沙士多少元？,80元,70元,60元,50元,B
6/18/2019 21:19:36,數學,花橘子把1公升35毫升的鮮奶倒進3870毫升的紅茶混合，請問調配出來的鮮奶茶還差多少才5公升呢？,4公升905毫升,49公升5毫升,95毫升,9.5公升,C
6/18/2019 21:22:06,數學,一張國語日報面積約 0.2( )，( )中應該填入何種單位最適合？,平方公尺,平方公分,平方公里,公畝,A
6/18/2019 21:23:26,數學,一個表面積是 384 平方公分的正方體，它的每個面的面積是多少平方公分？,64平方公分,36平方公分,54平方公分,108平方公分,A
6/18/2019 21:24:53,數學,某班學生中有 60%是男生，這個班級不可能是下列哪一種組合？,15 位男生和 10 位女生,9 位男生和 6 位女生,18 位男生和 12 位女生,10 位男生和 8 位女生,D
6/18/2019 21:31:57,數學,6700 公克−[   ]公斤[   ]公克 = 4900 公克 ？,1 公斤 795 公克,1 公 斤 797 公克,1 公斤 800 公克,1 公斤 798 公克,C
6/19/2019 23:09:26,英文,How are you?,My name is John.,Nice to meet you.,"I'm fine,thank you.",People mountain people sea.,C
6/19/2019 23:12:58,英文,"美國""白宮""的英文?",white horse,white building,white house,white home,C
6/19/2019 23:16:02,英文,恭喜的英文是?,Nice,contribution,congratulations,gratulation,C
6/19/2019 23:19:44,英文,肯德基速食店的英文簡稱是?,Burger King,KEC,Family,KFC,D
6/19/2019 23:22:17,英文,Birds of a feather flock together 意思?,小鳥依人,物以類聚,鳳凰于飛,早起的鳥兒有蟲吃,B
6/19/2019 23:24:56,英文,Raining cats and dogs意思?,傾盆大雨,貓狗大戰,阿貓阿狗,貓雨狗風,A
6/19/2019 23:27:55,英文,羅馬的英文?,Rome,Rama,Lola,Rame,A
6/19/2019 23:29:10,英文,英文單字有幾個字母,24,25,26,27,C
6/19/2019 23:32:00,英文,捷運的英文?,SRT,BRT,GTO,MRT,D
6/19/2019 23:37:53,英文,Excuse me. I really need to go now.My kids ____ for me at school.,are waiting,is waiting,was waiting,has waited,A
6/19/2019 23:39:44,英文,My father wants to buy a car ___ he doesn't have enough money.,but,for,why,what,A
6/19/2019 23:41:28,英文,水母的英文?,jellyfish,water mom,watermelon,juice,A
6/19/2019 23:43:16,英文,大眾交通工具?哪一為非,MRT,Bus,Horse,Train,C
6/19/2019 23:44:19,英文,蛋糕的英文?,cook,cake,wake,cute,B
6/19/2019 23:45:17,英文,和時間無關的英文?,seconds,minutes,hours,horse,D
6/19/2019 23:48:17,英文,形容食物好吃的英文?,It's delicious.,Excuse me.,"Fine,thank you .",How are you?,A
6/19/2019 23:49:38,英文,和天氣有關的英文?,Cat,Monkey,Rainy,Tasty,C
6/19/2019 23:51:59,英文,"""錢""英文是?",Monkey,Money,Monster,Momo,B
6/19/2019 23:53:25,英文,和交通工具有關的英文單字?,Airplane,Ball,Apple,School,A
6/19/2019 23:54:36,英文,和動物有關的英文?,hour,horse,house,home,B
6/19/2019 23:56:00,英文,捷運的英文縮寫?,MRT,MRP,MIT,NET,A
6/19/2019 23:57:04,英文,明天的英文?,Today,Yesterday,Tomorrow,Past,C
6/19/2019 23:57:48,英文,和樂器有關的英文?,Piano,Drink,Black tea,Milk tea,A
6/19/2019 23:59:12,英文,和飲料無關的英文?,Coffee,Black tea,Green tea,Banana,D
6/19/2019 23:59:51,英文,走路的英文?,talk,walk,take,speak,B
6/20/2019 0:03:13,英文,哪一個英文名詞不是同一類?,Facebook,Instagram,VoiceTube,Line,C
6/20/2019 0:05:26,英文,哪一英文app不能聽聲音?,Youtube,KKBOX,Line,Gmail,D
6/20/2019 8:48:55,國文,我們用成語「花枝招展」，形容打扮美麗的女子。其原本是形容怎麼樣的女人？,纏小腳的女人,頭戴花的女人,腰很細的女人,綁馬尾的女人,A
6/20/2019 8:50:30,數學,有二十六個人要坐船渡河，小木船最多一次只能載六個人，而且沒有船夫。請問若這二十六個人全部都要渡河，至少要用多少次小木船？,6,7,8,9,D
6/20/2019 8:52:33,自然,下列哪個是大紅鶴只用一隻腳站立的主要原因？,節省力氣,保持體溫,方便覓食,天生如此,B
6/20/2019 8:54:35,自然,能載著人類潛入海底的潛水艇，其發明靈感，據說是取自哪種海底生物？,魟魚,抹香鯨,鸚鵡螺,海馬,C
6/20/2019 9:33:06,英文,“You can have a discount if you order a _____.” 意思是：「你點套餐就可享有折扣。」請問、空格處應填入什麼單字？,combo,set,meal,pack,A
6/20/2019 9:34:52,自然,校園常見的植物當中，哪一項不是靠風力傳播種子的？,蒲公英,昭和草,酢漿草,台灣欒樹,C
6/20/2019 9:36:20,自然,藉由吃魚和曬太陽等方式，來補充足夠的維他命D，有助於什麼？,降低血壓,避免發胖,促進骨骼健康,新陳代謝,C
6/20/2019 9:38:25,自然,山羊是屬於動物界哪一科的動物？,羊科,鹿科,牛科,貓科,C
6/20/2019 9:39:19,健康常識,躲避球規則中，同隊內、外場互相傳球次數，以幾次為限？,三次,四次,五次,六次,B
6/20/2019 9:41:52,健康常識,阿爾去吃西餐，吃到一半想去洗手間，那麼、他應該把餐巾放在哪裡？,餐桌上,座位上,口袋裡,帶走,B
6/20/2019 9:50:13,數學,巴士上有7個女生，每個女生都有7個背包，每個背包有7隻大貓，每隻大貓有7隻小貓，請問巴士上有多少隻腳? (假設沒有司機),10990,2401,10880,2501,A
6/20/2019 10:02:12,數學,平行四邊形的每一個邊都可以叫做？,底,高,寬,肱,A
6/20/2019 10:03:23,自然,ㄧ天當中的哪個時候，公園的空氣『含氧量』最高？,清晨,中午,傍晚,午夜,C
6/20/2019 10:04:38,自然,蜘蛛會吐絲結網捕捉獵物，那他所吐的絲其實是？,腹部的黏液,嘴裡的口水,前肢紡絲器黏液,腳上的分泌物,A
6/20/2019 10:06:20,自然,小蜜蜂跳著8字舞是想告訴同伴，香甜的蜂蜜就在？,眼前不遠處,100公尺內,100公尺外,不一定,C
